id,Title,Release_Year,Genre,Synopsis
0,Белорусский вокзал,1970,драма,"Культовая советская драма режиссера Андрея Смирнова «Белорусский вокзал» рассказывает о встрече бывших фронтовиков, не видевшихся почти 25 лет. В конце фильма, словно подводя итог всему сказанному, звучит бессмертная песня Булата Окуджавы «Здесь птицы не поют…». Мы очень рекомендуем всем обязательно посмотреть онлайн этот замечательный фильм в нашем интернет-кинотеатре.
Последний раз они видели друг друга осенью 1946 года на Белорусском вокзале, когда собирались, чтобы отметить день рождения одного из своих товарищей. Через почти 25 лет они снова встретятся, но уже по другому поводу — чтобы проводить того же товарища Матвеева в последний путь. Постаревшие друзья нашли свое место в жизни: кто-то стал директором завода, кто-то бухгалтером. Кто-то простым слесарем. Несмотря на то, что они встроились в мирную жизнь, никто из них не понимает ее до конца. По мере развития сюжета герои попадут в разнообразные ситуации, подтверждающие эту точку зрения. Что это за новое поколение, которому они посвятили свою победу? Что это за жизнь, ради которой они воевали?"
1,Судьба человека,1959,военный,"Кинодебют Сергея Бондарчука – режиссера, экранизация одноименного рассказа Михаила Шолохова. Как пережить тяжелейшие испытание и остаться человеком, вы можете смотреть онлайн в фильме «Судьба человека». С началом Великой Отечественной войны жизнь многих людей изменилась. Вот и шоферу Андрею Соколову приходится оставить семью и отправиться на фронт. В первые же месяцы войны он попадает в немецкий плен. Но даже в этих ужасных условиях Андрей не теряет не только своего человеческого облика, но и мужества. Благодаря своей храбрости ему удается миновать расстрела, а потом и сбежать из фашистского плена. Но жизнь среди своих, за линией фронта, все равно не балует Андрея подарками. Он узнает, что в Воронеже во время бомбежки погибли его жена и дочь. А вскоре, уже вернувшись на фронт, он узнает, что в боях погиб и его сын. Так Андрей теряет всю свою семью и остается совсем один. После окончания войны ехать в родной Воронеж нет никакого смысла, ведь там его уже никто не ждет. Поэтому Соколов остается работать в Урюпинске и надеется построить какую-то новую жизнь. Именно здесь он встречает маленького мальчика Ваню, который тоже потерял всю семью в военный годы."
2,Счастье в конверте,2020,мелодрама,"Три сотрудницы почтового отделения собираются вместе после работы и делятся удивительными историями о людях, чья жизнь изменилась благодаря бумажным письмам, человеческой теплоте и вере в лучшее.

Первая история «Последние романтики» рассказывает о двух старых друзьях, бывших боевых товарищах. Один из них мечтает основать в округе небольшой музей, а второй – отправиться в кругосветное путешествие. И кажется, его авантюрная мечта скоро исполнится... Новелла «Куда уходят поезда» – это трогательная история знакомства одинокой бабушки, бесцельно сидящей на вокзале, и обычной семейной женщины, которая просто не может пройти мимо. Неравнодушие – дар, приносящий счастье. Заключительная история «Подарок Деда Мороза» поведает о маленьком мальчике, живущем только с дедушкой и часто терпящем насмешки из-за их бедности. Под Новый год он пишет письмо с просьбой о дорогих игрушках, чтобы привлечь ими ребят, но получает в подарок нечто куда более ценное. 

Теплый, пронзительный и светлый фильм режиссера Светланы Сухановой «Счастье в конверте» можно посмотреть онлайн."
3,Брат 2,2000,криминал,"Легендарную фразу Данилы Багрова «Скоро всей вашей Америке кирдык» Алексей Балабанов всерьез решил воплотить в кинопродолжении истории о народном герое в 2000 году, в результате чего и получился культовый «Брат 2», рассказывающий о похождениях борца за справедливость в стране победившей демократии.
После минувших событий первой части Данила с братом Виктором поменялись местами, отправив родственника в провинцию помогать матери. Однако Витя мало чем оказался полезен в хозяйстве, погрязнув в беспробудном алкоголизме, обвиняя всех и вся в своих неудачах. Данилу тем временем приглашают в Москву на передачу в честь героев первой чеченской войны. Там парнишка снова встречается со своими старыми боевыми товарищами, одного из которых вскоре убивают. Вновь столкнувшись с вопиющей несправедливостью, Данила не может так просто остаться в стороне. Для того чтобы разобраться с обидчиками, ему предстоит посетить Америку, где живет брат-близнец погибшего, знаменитый хоккеист.
Как Америке пришел тот самый «кирдык», вы можете смотреть онлайн в фильме «Брат 2»."
4,Легенда №17,2012,Спорт,"Данила Козловский и Олег Меньшиков в спортивной драме «Легенда №17» о жизни и о самой решающей игре знаменитого советского хоккеиста Валерия Харламова.
14 января 2012 года этому великому, без преувеличения, спортсмену исполнилось бы 65 лет. Фильм рассказывает историю Валерия Харламова и эпохальной суперсерии 1972 года «СССР - Канада». Это была не просто игра, это была битва за свою страну, которая перевернула мировое представление о хоккее. Североамериканские специалисты были шокированы заоблачным уровнем мастерства советских спортсменов. Но больше всего их поразила игра Харламова, забившего две шайбы в первом матче суперсерии. Именно после той игры Валерий Борисович стал звездой планетарного масштаба. По обе стороны Атлантики нападающего ЦСКА, выступавшего под семнадцатым номером, до сих пор называют не иначе как гением. Основная часть фильма посвящена подготовке к суперсерии, самой игре и становлению легенды. Однако помимо спортивной составляющей, в сюжете также задействованы и факты из личной жизни хоккеиста."
5,Тот самый Мюнхгаузен,1979,комедия,"Одна из самых ярких и запоминающихся ролей выдающегося советского артиста Олега Янковского. Увлекательная приключенческая мелодрама, состоящая из двух серий, рассказывает о похождениях выдумщика и мечтателя, барона Мюнхгаузена. Режиссером фильма стал талантливый Марк Захаров, который снял такие шедевры, как «Обыкновенное чудо» и «Двенадцать стульев». Данную картину называют кульминацией творческого союза Захарова и Янковского. 
Германия, 1779 год. Известный на всю округу выдумщик и романтик барон Мюнхгаузен славится своими дивными рассказами. Кто-то считает героя лгуном, однако его фантазии всегда имеют свойство оказываться правдой, к тому же барон патологически не способен врать. Мюнхгаузен живет в замке с очаровательной девушкой Мартой и мечтает жениться на ней, однако его бывшая жена, роковая ошибка юности, сделает все, чтобы не допустить этого… Если вы любите культовые душевные фильмы, не теряющие со временем своей актуальности и свежести, посмотрите онлайн «Тот самый Мюнхгаузен» в нашем кинотеатре."
6,Два капитана,1976,приключения,"Прекрасная экранизация романа Вениамина Каверина. Всем, кто в детстве зачитывался этим произведением, стоит посмотреть онлайн шестисерийный фильм «Два капитана». А кто не читал книгу, тот тоже с не меньшим удовольствием будет следить за судьбой героев. 
В детстве Саша Григорьев со своим другом Петькой нашли сумку с письмами неизвестного человека, в которых рассказывалось о пропавшей экспедиции. Дети зачитывались ими, как художественным произведением, и выучили их наизусть. Позже Саша попадает в московский интернат, где учится и мужает. Подростком он знакомится с красивой девочкой из довольно обеспеченной семьи, Катей Татариновой. Вместе с матерью они живут в большой квартире Николая Антоновича – двоюродного брата мужа Марии Васильевны. Впоследствии Саня узнает, что муж Катиной мамы и Катин отец – знаменитый капитан Татаринов, и письма, которые они в детстве учили с другом наизусть, принадлежат ему. Выясняется, что в гибели экспедиции повинен брат, Николай Антонович. Но доказать Григорьев это может, лишь сам став капитаном и проделав тот же путь, что и капитан Татаринов."
7,Республика ШКИД,1966,комедия,"Знаменитая картина ""Республика ШКИД"" рассказывает о трудном послереволюционном времени, когда улицы и подворотни Петрограда заполонили малолетние беспризорники. Специальная организация занималась отловом маленьких воришек и начинающих преступников, а затем распределяла их по детским домам. Те, кто не проходил отбор, попадали прямиком за решетку. Основная часть истории происходит в стенах школы-интерната имени Достоевского. Директор школы Викниксор пытается совладать с первым набором воспитанников. Малолетние хулиганы категорически отказываются принимать заботу и противятся обучению. Они всячески издеваются над преподавателями и берутся за старое: воруют вещи и еду. Однако Викниксору в итоге удается найти общий язык со своими воспитанниками, когда они совместно сочиняют собственный гимн. Вскоре в коллективе появляется новый ребенок - одноглазый сорванец по кличке Мамочка. За его воспитание берутся уже сами жители республики, однако заканчивается это начинание весьма драматично. Продолжение этой истории вы можете посмотреть онлайн в нашем интернет-кинотеатре."
8,Человек с бульвара Капуцинов,1987,мелодрама,"Комедийный вестерн от создателей «Будьте моим мужем» режиссера Аллы Суриковый и сценариста Эдуарда Акопова. В нашем интернет-кинотеатре можно посмотреть онлайн блистательную картину «Человек с бульвара Капуцинов» о воспитании нравов кинематографом с Андреем Мироновым, Михаилом Боярским, Олегом Табаковым, Николаем Караченцовым, Игорем Квашей, Галиной Польских, Натальей Крачковской и другими звездами советского кино в главных ролях.
Небольшое захолустье на Диком Западе, начало XX века. Будни жителей городка проходят в попойках, стрельбе и драках, пока привычный уклад не нарушает мистер Фест, миссионер кинематографа, организовавший в городе немой кинотеатр. Фест показывает фильмы братьев Люмьер и Чарли Чаплина. Ленты чудесным образом находят отклик в огрубевших душах ковбоев, преображая их нравы, привычки и взгляды. Меньше стрельбы, меньше выпивки и сквернословия становится в городе. Однако не всем такие изменения приходятся по душе."
9,"Гардемарины, вперед!",1987,мелодрама,"«Судьба и родина – едины!», пели три красавца хором и волновали сердца всего женского населения страны. На нашем сайте можно еще раз посмотреть онлайн, как Алешка ищет по лесам свою Софью, а коварный Де Брильи везет Ягужинскую в далекую Францию. Алексей Корсак, Александр Белов и Никита Оленев – простые курсанты Навигацкой школы, «по воле рока» впутанные в дворцовые интриги, которые плетутся весьма уважаемыми людьми на самом верху. Хотя наши герои не слишком искушены в подобного рода науках, именно от них зависит сохранность секретного архива вице-канцлера Бестужева. Таинственные письма похитил кавалер де Брильи и везет их в Европу. Добыча француза – не только бумаги, но и красавица Анастасия Ягужинская, к которой неравнодушен Александр Белов. Девушку обвиняют в заговоре против самой императрицы, хотя вся ее вина состоит в невоздержанности на язык и склонности к салонным сплетням. Впереди у друзей множество приключений и опасностей, встречи с влиятельными врагами и пылкими девами, но преданность Отечеству и друг другу поможет им выбраться из любых передряг."
